"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Thanet",1901,1950,2071,2286,2006,-12.2484689413823,1.35313881740613,55.0645072742245
"New Forest",1625,1658,1923,1952,1986,1.74180327868851,5.14326759769952,54.1291905151267
"Leicestershire",1846,1640,1348,1998,1974,-1.2012012012012,1.69014413730832,94.9494949494949
"North Hertfordshire",1059,2017,2174,2648,1925,-27.3036253776435,16.1137612852181,65.210027100271
"Harrogate",1589,1546,1654,1855,1907,2.80323450134772,4.66625831191536,48.5859872611465
"Wigan",1643,1804,1927,1961,1904,-2.90668026517083,3.75459635191238,92.3375363724539
"Tonbridge & Malling",1734,1670,1799,1600,1895,18.4375,2.2445176153957,53.3652492255703
"Mendip",1625,1616.39454,1563,1875.89431,1891.16271,0.813926451965187,3.86491801470681,58.9778504739303
"Sandwell",1685,1797,1733,1754,1830,4.33295324971495,2.08520285965266,75.4639175257732
"Waverley",1371,1443,1692,1550,1807,16.5806451612903,7.14703914631325,33.1498807558246
"Epsom & Ewell",1626,1512,1472,1742,1805,3.61653272101033,2.6453231352138,42.4905838041431
"Rushmoor",1937,1370,1472,1523,1783,17.0715692711753,-2.04977665302132,69.8120595144871
"Great Yarmouth",2125,2028,2056,2187,1756,-19.7073616826703,-4.65643331913164,69.5170229612035
"West Berkshire",1508,1800,1708,1704,1742,2.2300469483568,3.6720538126362,41.3089874318236
"Worcester",1271,1665,1279,1420,1716,20.8450704225352,7.79358929528278,44.8627450980392
"Salford",1369,1422,1527,1610,1695,5.27950310559007,5.48520800679706,71.4586846543002
"Allerdale",1880,1280,1492,2092,1686,-19.4072657743786,-2.6860882697004,51.3711151736746
"Fareham",1435,1484.005,1580,1716,1649.68,-3.86480186480188,3.54686437444567,70.0858186761832
"Taunton Deane",1432,1165,1435,1799,1641,-8.78265703168427,3.46450653693096,35.7205050065303
"South Hams",1502,1355,1366,1544,1640,6.21761658031087,2.22178935340367,50.6798516687268
"Watford",2425,2672,2539,2370,1628,-31.3080168776371,-9.4818510227003,54.6125461254613
"Northamptonshire",1613,1607.26101,2044.05539303281,1777.04701098908,1626,-8.49988830092941,0.200881797243002,63.7897214593958
"Basingstoke & Deane",1346,1503,1444,1486,1603,7.87348586810228,4.46531438946769,54.1737073335586
"Dover",1206,1217,1275,1371,1603,16.9219547775346,7.37336249158198,70.0305810397553
"Gateshead",1825,1627,1595,1602,1589,-0.811485642946323,-3.4026400516172,72.1289151157513
"Stratford-on-Avon",1958,1290,1270,1412,1583,12.1104815864023,-5.17626518361863,55.4660126138753
"Worthing",1190,1449,1385,1553,1580,1.73857050869286,7.34393990309397,55.2254456483747
"Swale",1403,1358,1445,1562,1572,0.640204865556981,2.88420774640552,58.5256887565153
"Sevenoaks",1263,1279,1557,1542,1546,0.259403372243838,5.18444863233223,43.45137717819
"Kingston upon Hull",1093,1259,1474,1384,1538,11.1271676300578,8.91408402434883,41.5002698327037
"Welwyn Hatfield",1342,1330,1445.18377707792,1489.46163,1536,3.12450949139253,3.43313187082674,90.887573964497
"Gloucester",1804,1407,1443,1468,1533,4.42779291553133,-3.98780347337225,64.7108484592655
"Spelthorne",1600,1493,1660,1533,1524,-0.587084148727996,-1.20925828817982,54.2928393302458
"Derbyshire",1330,1222,1342,1524,1519,-0.328083989501309,3.37762089848526,109.754335260116
"Calderdale",1861,1695,1538,1458,1512,3.7037037037037,-5.05953499325809,41.976679622432
"Shepway",1223,1256,1219,1206,1499,24.2951907131011,5.21890890469592,68.478757423481
"Wychavon",730,1162,904,1300,1498,15.2307692307692,19.6870708129812,48.0436177036562
"Mid Sussex",1179,1202,1380,1499,1492,-0.466977985323553,6.06296275702454,52.2775052557814
"Mole Valley",824,977,1088,1066,1481,38.9305816135085,15.7862428437572,50.1184433164129
"Scarborough",3564,1209,1495,1341,1461,8.94854586129755,-19.9837617838883,26.9060773480663
"Bolton",1599,1676,1477,1681,1459,-13.2064247471743,-2.26464223985834,60.2146099876187
"Dacorum",1438,1519,1692,1625,1457,-10.3384615384615,0.32869572139973,63.9315489249671
"Darlington",1207,1171,1441,1438,1453,1.04311543810849,4.74651584291803,56.2960092987214
"Elmbridge",2404,2381,2297,1849,1441.591,-22.034018388318,-12.0011696408001,32.6896423799732
"Test Valley",1223,1286,1331,1381,1425,3.18609703113685,3.89558716322753,57.5990299110752
"Dudley",1601,2358,2209,2326,1423,-38.8220120378332,-2.90354098171951,131.273062730627
"Stafford",1473,1361,1619,1759,1421,-19.2154633314383,-0.894482695648224,57.2983870967742
"Cumbria",711,1128,1002,1132,1418,25.2650176678445,18.8369939464563,101.867816091954
"Wirral",1239,1229,1284,1377,1416,2.8322440087146,3.39463079143412,59
"Wolverhampton",1808,2069,1654,1379,1411,2.32052211747644,-6.00989237377008,46.7218543046358
"Warrington",1006,885,843.32,900.56867,1385.708,53.8703317316158,8.3349122487234,97.8992442648697
"Weymouth & Portland",1547,1298,1333,1562.228,1371.102,-12.2341937284442,-2.97249528175788,40.638730482412
"East Lindsey",1170,1347,1260,1276,1362,6.7398119122257,3.87183679907801,42.8571428571429
"Huntingdonshire",1183,1260,1223,1106,1356,22.6039783001808,3.47102140932445,52.1538461538462
"Chesterfield",1465,1490,1464,1540,1355,-12.012987012987,-1.93242920799208,55.8532563891179
"Mansfield",1334,1789,1416,1383,1351,-2.31381055676067,0.317079423809319,79.9408284023669
"Staffordshire",1377,314,256,199,1344,575.37688442211,-0.604589399379318,115.962036238136
"North Devon",1272,1268,1228,1260,1332,5.71428571428572,1.15894197171658,39.5839524517088
"Teignbridge",1087,1106,1165,1253,1314,4.86831604150039,4.85555789151297,35.8331060812653
"Bury",1252,1270,1244,1329,1290,-2.93453724604966,0.750299387655495,51.517571884984
"Nuneaton & Bedworth",0,1168,1083,1101,1274,15.7129881925522,NA,59.784138901924
"Isle of Wight",1403,1130,1176,1293,1253,-3.09358081979892,-2.78722287929175,26.4123102866779
"Carlisle",1665,1124,1166,1109,1243,12.082957619477,-7.04682625221742,69.8707138842046
"Dorset",727,756.372,988,883,1237,40.0906002265006,14.2112335477922,72.7219282774838
"Lancaster",1039,1043,1124,1296,1236,-4.62962962962963,4.43612053198781,39.6407953816549
"East Devon",1077,1000,1008,1140.66838,1198,5.02614265506338,2.6975962764334,33.5574229691877
"Lincolnshire",781,713,751,1130,1180,4.42477876106196,10.8683906348275,94.0988835725678
"North East Lincolnshire",1450,1169,1112,1026,1177,14.7173489278752,-5.08122708157436,53.7934186471664
"Hartlepool",955,1079,1264,1235,1161,-5.9919028340081,5.00433093347665,75.5367599219258
"St Helens",1433,1231,1215,1194,1155,-3.26633165829145,-5.24896809037153,73.7547892720306
"Walsall",1566,1104,891,991,1118,12.8153380423814,-8.07947175826407,70.3587161736941
"Hertsmere",1157,1153,1201,1247,1103,-11.5477145148356,-1.18780690785228,55.3992968357609
"Blackburn with Darwen",1052,747,1388,1663,1101,-33.7943475646422,1.14464508177516,76.1410788381743
"Chiltern",921,908,843,977,1087,11.2589559877175,4.22993776984479,50.0460405156538
"Rochdale",953,977,960,1050,1087,3.52380952380953,3.3437367381844,94.5217391304348
"Hastings",1661,931,998,1018,1052,3.33988212180746,-10.7904133996551,62.1749408983452
"Gravesham",1036,975,900,1012,1035,2.27272727272727,-0.0241400138286441,43.5239697224558
"South Tyneside",1015,985,745,729,1030,41.2894375857339,0.367428111856527,55.1982851018221
"Hounslow",5209,4633.66666666667,1132,603,1024,69.8175787728026,-33.4134674621669,7.2773790064672
"Brentwood",890,849,874,903,1021,13.0675526024363,3.49251330251585,53.1120763648659
"Barnsley",997,990,995,1046,1019,-2.5812619502868,0.547147998484609,48.6396181384248
"South Oxfordshire",557,552,675,696,993,42.6724137931035,15.5509481259783,90.4371584699454
"Sutton",878,876,800,854,974,14.0515222482436,2.62805783104834,42.5699300699301
"Cotswold",927,966,1018,795,964,21.2578616352201,0.98324563200991,39.5243952439524
"Wyre Forest",961,939,981,938,959,2.23880597014924,-0.0520697911479351,63.4679020516214
"Broxbourne",775,616,635,696,956,37.3563218390805,5.38748668574571,64.3337819650067
"Wokingham",874,772,839,1146.9497496,950,-17.1716110203334,2.10641851937485,42.9864253393665
"Southampton",2421,3056,3000,2839,944,-66.748855230715,-20.9786761426145,13.6199682585485
"Arun",1109,1205,1260,869,936,7.71001150747985,-4.1513333813308,55.9139784946237
"South Somerset",1451,1274,894,935,935,0,-10.4045304997504,46.8436873747495
"Trafford",1183,1250,1075,1052,931,-11.5019011406844,-5.81294146274334,33.5979790689282
"Central Bedfordshire",0,0,0,1128,930,-17.5531914893617,NA,49.0247759620453
"North Norfolk",787,760,857,902,926,2.66075388026607,4.14994947042167,33.8697878566203
"Derbyshire Dales",566,583,518,671,925,37.8539493293592,13.0658170378279,35.3188239786178
"South Gloucestershire",970,952,947,1097,923,-15.8614402917047,-1.23399399834119,156.706281833616
"Christchurch",770,730,795,916,921,0.54585152838429,4.57845615751198,30.4261645193261
"Rotherham",802,822,783,819,919,12.2100122100122,3.46305211864129,63.3793103448276
"Cherwell",758,788,610,780,899,15.2564102564102,4.35724889031139,46.7741935483871
"Suffolk Coastal",679,738,763,818,890,8.80195599022005,6.99908358295658,44.0594059405941
"Stroud",609,407,610,546,886,62.2710622710623,9.82573218924678,87.6360039564787
"Harborough",939,776,736,766,874,14.0992167101828,-1.77739227459225,57.3867367038739
"Lichfield",879,771,844,769,856,11.3133940182055,-0.66067094774056,37.9937860630271
"North West Leicestershire",663,668,782,893,849,-4.92721164613663,6.37719646707158,129.223744292237
"East Staffordshire",761,833,791,962,829,-13.8253638253638,2.16272500950128,67.6734693877551
"Dartford",771,829,823,799,824,3.12891113892366,1.67594286525183,90.8489525909592
"Eastleigh",1253,1329,1132,1328,800,-39.7590361445783,-10.6108661776364,35.1648351648352
